Store,Item Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg),Beverage_prep, Total Fat (g),Trans Fat (g) , Sodium (mg), Total Carbohydrates (g) , Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Caffeine (mg)
Dunkin,Donuts - Regional,Go Hornets Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,58,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Guava Donut,1 Donut,240,10,4,0,0,280,32,1,12,11,4,1,72,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Inter Miami Donut,1 Donut,270,11,4.5,0,0,280,37,1,17,16,4,0,59,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Jaguars Hall of Fame Donut,1 Donut,270,12,5,0,0,280,37,1,15,14,4,0,68,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Orioles Magic Donut,1 Donut,350,15,6,0,0,300,47,1,27,27,4,1,69,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Padres Donut,1 Donut,270,12,5,0,0,290,36,1,15,14,4,0,75,13,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Pittsburgh Crème Donut,1 Donut,350,16,7,0,0,310,47,1,26,25,5,1,81,13,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Pittsburgh Penguins Donut,1 Donut,270,12,5,0,0,290,36,1,15,14,4,0,75,13,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Reds Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,64,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,TN Titans Donut,1 Donut,270,12,5,0,0,280,37,1,15,15,4,0,58,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,The GOAT Donut,1 Donut,270,11,4.5,0,0,290,37,1,16,16,4,0,59,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Apple Streusel Donut,1 Donut,310,12,4.5,0,0,310,46,1,23,23,5,1,72,13,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Chocolate Coconut Donut,1 Donut,430,25,12,0,0,420,50,1,29,28,4,0,80,26,1,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Chocolate Crème Stick,1 Stick,460,23,9,0,0,450,58,2,33,33,6,2,108,18,3,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Crème Delight Donut,1 Donut,330,16,6,0,0,310,44,1,24,24,5,1,81,13,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,French Apple Donut,1 Donut,270,10,4,0,0,310,40,1,19,18,4,1,69,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Glazed Lemon Donut,1 Donut,270,10,4,0,0,310,40,1,19,18,4,1,62,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Indy Crème Donut,1 Donut,330,16,6,0,0,310,44,1,24,24,5,1,81,13,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Maple Long John Donut,1 Donut,320,15,6,0,0,400,42,1,18,17,5,2,81,16,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,Marble Frosted Donut,1 Donut,270,11,4.5,0,0,290,37,1,16,16,4,0,63,12,2,,,,,,,,,,,,,
Dunkin,Donuts - Regional,New Yorker Donut,1 Donut,330,16,6,0,0,310,44,1,24,24,5,1,81,13,2,,,,,,,,,,,,,
Dunkin,Dunkin' Energy Punch - Regional,Blue Raspberry Dunkin' Energy Punch Powered by Rockstar®,Large,430,0,0,0,0,120,100,0,98,98,0,0,5,12,0,,,,,,,,,,,,,
Dunkin,Dunkin' Energy Punch - Regional,Strawberry Dunkin' Energy Punch Powered by Rockstar®,Large,440,0,0,0,0,120,103,1,98,94,0,0,120,19,0,,,,,,,,,,,,,
Dunkin,Dunkin' Wraps,Chicken & Roasted Pepper Dunkin' Wrap,1 Wrap,380,16,10,0.5,75,820,33,3,3,0,25,0,318,283,3,,,,,,,,,,,,,
Dunkin,Dunkin' Wraps,Chorizo & Egg Dunkin' Wrap,1 Wrap,410,21,10,0,140,1010,34,3,3,1,20,1,249,227,3,,,,,,,,,,,,,
